name,roaster,roast,origin,rating,review
Ethiopia Hambela Alaka,Big Creek Coffee Roasters,Medium-Light,Guji Zone,93,"A balanced, classic Ethiopia wet-processed cup: cocoa- and citrus-toned with sweet florals throughout."
100% Kona Bourbon,Hala Tree Kona Coffee,Medium-Light,North Kona Growing District,93,"An inviting cup from the classic Bourbon variety as grown in Kona, complex and sweet-savory."
Kona Naturals,Hala Tree Kona Coffee,Medium-Light,North Kona Growing District,92,A fruit-driven natural-processed Kona Typica cup with a pleasing hint of grappa-like sweet ferment.
Rwanda Rulindo Tumba,Big Creek Coffee Roasters,Medium-Light,Rwanda,91,"A rich, pleasing Rwanda coffee with berry notes, vanilla-like florals, and an appealing hint of sweet herbs."
Guatemala Quejina,Revel Coffee,Medium-Light,Huehuetenango Growing Region,92,"A citrus-driven, quite bright Guatemala cup with a pretty floral note akin to candied violet."
Flight Seasonal Espresso,Red Rooster Coffee Roaster,Medium-Light,Ethiopia,94,"An espresso blend creatively comprised of both washed- and natural-processed coffees, the former bringing bright florals to the cup, the latter, deep fruit."
Costa Rica Las Lajas Black Honey,Red Rooster Coffee Roaster,Medium-Light,Central Valley,93,"A crisp, richly sweet, berry-driven black honey from Costa Rica."
Eaagads Estate Kenya,Greater Goods Coffee Roasters,Medium-Light,South-Central Kenya,94,"A beautiful Kenya cup with layers of intrigue, from the classic cocoa-toned currant note to the pleasing twist of sweetly savory herbs."
Ethiopia Guji,States Coffee & Mercantile,Medium-Light,Oromia Region,94,"An aromatically saturated, flavor-deep cup that hits all of the classic Ethiopia notes: fruit, florals, cocoa and aromatic wood."
Ethiopia Yirgacheffe G1,Santos Coffee,Light,Southern Ethiopia,94,"A pretty, floral-toned Ethiopia cup with particularly vibrant acidity and plush mouthfeel."
Kenya Karindundu AA Small Lot Reserve,Dragonfly Coffee Roasters,Medium-Light,South-Central Kenya,97,"A perfectly structured coffee alive with aromatic intrigue. It gave us far too many positive descriptors to list. Just a few more: dried mulberry, blood orange zest, raw honey."
Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,Small Eyes Cafe,Medium-Light,Aceh Province,93,"An unusual honey-processed coffee from Sumatra: graceful, balanced, quietly original."
Ketiara Sumatra,Barrington Coffee Roasting,Light,Aceh Province,92,"Attractive choice for lovers of the traditional Sumatra wet-hulled profile: earthy, pungent, yet bright, offering bonus satisfaction for supporters of progressive, women-led cooperatives."
Sumatra Lintong,Peach Coffee Roasters,Medium,North Sumatra Province,95,"Bright and vivacious, yet resonantly deep: a Sumatra for all seasons."
Ethiopia Natural Guji Hambela G1 Bishan Fugu,Kakalove Cafe,Medium-Light,Oromia Region,95,"A rich-toned, resonant, cleanly fruity natural-processed Ethiopia cup with delicate florals and sweet musky notes throughout."
Tanzania Tarime AB,Flight Coffee Co.,Medium-Light,Tarime,94,A high-toned yet deeply savory Tanzania cup with resonant stone fruit and spicy floral notes throughout.
El Salvador Cerro Las Ranas Honey Espresso,Kakalove Cafe,Medium-Light,El Salvador,94,"A deeply sweet, chocolaty and spice-toned El Salvador, adeptly roasted for espresso."
Blossom Single Origin Espresso,Plat Coffee Roastery,Medium-Light,Southwestern Ethiopia,93,"A light-footed, exhilaratingly bright and juicy espresso, complex as both straight shot and in short milk."
Panama Baru Geisha Black,Kakalove Cafe,Medium-Light,Western Panama,94,"An intentionally ferment-toned Geisha cup with exquisite balance: notes of passionfruit on the sweet end of the spectrum and hops on the savory, with dark chocolate running through the whole."
Kenya Safari AB Top,Plat Coffee Roastery,Medium,South-Central Kenya,93,"Superb and classic Kenya, intense in structure, layered and resonantly intricate in aroma and flavor."
No. 79 Blend Espresso,Kakalove Cafe,Medium,Rwanda,92,"A balanced, expressive espresso blend with dessert-like aroma and flavor notes."
Colombia Monteblanco Purple Caturra Natural,Old Soul Co.,Light,Huila Department,90,
Brazil Para Ela Natural,Durango Coffee Company,Medium-Light,Minas Gerais State,93,"A beautiful berry-centric natural-processed coffee from Brazil, with especially high-toned acidity and deep cocoa notes throughout."
Tumba Rwanda,Corvus Coffee Roasters,Medium-Light,Rwanda,92,"An attractively savory-leaning Rwanda cup whose leading descriptor is sweet squash; this unusual but pleasing note is supported by sweet herb and spicy floral suggestions, rounded by a rich cocoa."
Ethiopia Harrar,Jampot Poorock Abbey,Medium-Dark,Rulindo,91,"Crisp, chocolaty, roast-toned cup, with a zesty edge."
KonAroma Direct Trade Kona,Jampot Poorock Abbey,Medium,Big Island Of Hawaii,90,"A plush, smooth roast-touched Kona."
Peru Chirinois,Wild Goose Coffee Roasters,Medium-Light,Cajamarca Region,92,"A beautifully balanced Peru cup: fruit, flowers and nuts in crisply sweet harmony."
Ecuador Finca La Papaya,Willoughby's Coffee & Tea,Medium-Light,Southern Ecuador,92,"A solid Ecuador cup, balanced and friendly, with appealing cocoa notes throughout."
Peru Natural Utcubamba,Peach Coffee Roasters,Medium-Light,Amazonas Region,91,"A natural-processed Peru cup with an appealing hint of cordial-like sweet ferment animating a layering of fruit, floral and tobacco notes."
Kenya Murang’a Githiga AA,Evie's Cafe,Medium-Light,Central Province,94,"Though delicate and perhaps a bit bright for some palates, the integrated breadth of “tart” is reminiscent of fine desserts by the same name. An elegant example of the Kenya type."
Borneo Sabah Arabica,Paradise Roasters,Medium-Light,Malaysia,90,The first coffee from Malaysian Borneo to be roasted for retail consumers in the U.S. and a promising new project in a region not yet known for specialty coffee.
Colombia,Caffeic,Medium,Antioquia Department,90,"A quietly seductive Colombia, organized around a pleasingly sweet chocolate note."
D.R. Congo Muungano Co-Op,Temple Coffee Roasters,Medium-Light,Democratic Republic Of The Congo,92,"Deep, resonant and pleasing. Dry, yet quite plump and juicy."
No. 6 Espresso Blend,The Curve Coffee Roasting,Medium,Brazil,92,"A roast-toned, richly bittersweet espresso with prominent chocolate character and sweet floral nuance."
Ethiopia Sidama Shantewene,Cafe Virtuoso,Medium-Light,South-Central Ethiopia,95,"A clean, bright natural Sidamo cup: high-toned fruit, deep musk notes, bittersweet complexity."
Kivu Belt Lot 32 Espresso,JBC Coffee Roasters,Medium-Light,Rwanda,93,"An impressively integrated Rwanda espresso, equally sweet and savory. Especially pleasing in milk, where chocolate and tamarind suggestions contribute to a bright, expressive cappuccino."
Kivu Belt Lot 32 Rwanda,JBC Coffee Roasters,Medium-Light,Rwanda,92,A classic Rwanda cup: deeply sweet yet resonant with savory intrigue. Think cocoa-toned baking spices.
Gesha Rebecca Natural,Small Eyes Café,Medium-Light,Southern Ethiopia,95,A superbly structured natural-processed Ethiopia Gesha that leads with clean fruit tones supported by rich cocoa and deep florals.
Bufcafe Rwanda,JBC Coffee Roasters,Medium-Light,Southern Province,90,A quiet coffee with a very distinct savory sweetness. Those who avoid assertively bright coffees may enjoy its restraint.
Café Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting Co.,Medium,Colombia,95,"A shape-shifter of a coffee: brilliant, original, absorbing."
La Papaya Ecuador,Lexington Coffee Roasters,Medium-Light,Southern Ecuador,92,"An aromatically bright and rousing Typica cup, high-toned with bittersweet citrus and rich spice notes."
Aponte Colombia,Lexington Coffee Roasters,Medium-Light,Southern Colombia,90,"An attractive composite of tart and savory elements and an exciting coffee, given the historic limitations on processing in Colombia."
Sumatra Tano Batak,Gracenote Coffee Roasters,Medium-Light,North Sumatra Province,94,"Classic Sumatra genius: chocolate and earth, sweet-savory berry, balanced and complete."
Boru Batak Sumatra,Notch Coffee,Medium-Light,North Sumatra Province,94,"Fine traditional Sumatra, lightly plump and juicy in mouthfeel, aromatically driven by earth-nuanced pungent fruit and dry chocolate."
Sumatra Gayo King Mandheling,Fumi Coffee,Medium,Aceh Province,93,Snacking after some work in the garden. The scent of fresh-turned earth and dark chocolate.
Huta Raja Natural,Giv COFFEE,Light,North Sumatra Province,93,"An impressively clean, crisp, cocoa-toned (and atypical) natural-processed coffee from Sumatra."
Sumatra Pantan Musara,Paradise Roasters,Medium-Light,Aceh Province,93,"For lovers of depth and sweet-savory resonance — those who enjoy the roundly sweet/tart/savory character of a fine ripe tomato, for example."
ASOPCAFA Colombia,JBC Coffee Roasters,Medium-Light,Southern Colombia,91,"Crisp, briskly dry yet sweet; delicately chocolate- and nut-toned."
Natural Burundi Nemba,Amavida Coffee Roasters,Light,Kabuye,92,"A quietly original coffee: big-bodied, low-toned, crisply sweet-savory."
Ka’u Champagne Natural,Paradise Roasters,Light,Big Island Of Hawai'I,94,"Adventures in wine yeast: Two of Hawai’i’s (and the world’s) most common coffee varieties are elevated by an experimental fermentation method that results in a beverage that evokes Champagne — fruity but dry, not effervescent, but exceptionally vibrant."
Monarch Gesha,Equator Coffees,Medium-Light,North Kona Growing District,94,"A deep, nuanced Gesha, excitingly original with high-toned herb notes, low-toned, almost candy-sweet fruit, and rich, spice-toned florals."
Puna Barrel-Aged,Big Island Coffee Roasters,Medium-Light,Big Island Of Hawai'I,93,"A fascinating sensory experience of a coffee aged in rum barrels: a recombinant mashup of musky fruit notes, sweet ferment, spicy florals, and chocolate with a salty edge."
Kona Peaberry,Big Island Coffee Roasters,Medium-Light,Kealakekua Growing Region,93,"The classically delicate, subtle Kona Typica profile is enhanced by the careful medium roast, as well as by the selection of peaberries only."
Laura’s Reserve SL-28,Hula Daddy Kona Coffee,Medium-Light,North Kona Growing District,93,"A classic SL-28 cup, juicy-sweet with leading notes of red fruit and spice-toned sweet florals, supported by suggestions of buttery toffee."
Ka’u Natural,Nine Point Coffee,Medium-Light,Big Island Of Hawai'I,93,"An engaging natural-processed Ka’u coffee, fruit-driven, with a foundation of pipe tobacco and cocoa notes."
Maui Kupa’a Orange Bourbon,Origin Coffee Roasters,Medium-Light,Island Of Maui,93,"A window into the great potential of higher-grown, cool-climate Maui coffee: bright but balanced, sweet-toned, and subtly nuanced. Grown in Kula, an agricultural zone on the western-facing slopes of Mount Haleakala and source of most of the island’s locally grown fruits and vegetables."
Honey Typica,Rusty's Hawaiian,Medium-Light,Big Island Of Hawai'I,92,"Richly floral and cleanly fruit-toned, an impressive and increasingly familiar style of natural- and honey-processed coffee from Ka’u producers."
Ka’u Typica Natural,Three Chairs Specialty Turkish Coffee,Medium-Light,Big Island Of Hawai'I,92,"The fruit typical of a natural-processed coffee is pleasingly balanced here by deep nougat, citrus zest, and rich aromatic wood notes."
Estate-Grown Mamo,Greenwell Farms,Medium,Kona Growing District,90,"An opportunity to taste one of the world’s rarest coffees, a hybrid that exemplifies the persistence and ingenuity of coffee scientists."
Colombia Las Joyas: Fidencio Martinez Lot,Beanfruit Coffee Co.,Medium-Light,Southern Colombia,91,"An attractively tart and savory honey-processed coffee. Try it with salty morning dishes, which should develop its subtle, complementary sweetness."
Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,Medium,Colombia,94,"An extraordinary coffee, difficult to characterize in typical coffee language, yet deeply satisfying, ringing with quiet, resonant authority."
Ethiopia Oromia Guji Washed,Dou Zhai Coffee & Roast,Medium-Light,Oromia Region,94,"A deep, satisfying coffee, accessible yet resonantly complex."
Yemen Matari,Baba Java Coffee,Medium,Yemen,93,"A complex and engaging rendition of the characteristically richly spicy, tobacco-toned, floral-fruity Yemen profile."
Crema de Dolce Espresso,Dragonfly Coffee Roasters,Medium-Light,South America,93,"A rich-toned straight shot, and an inviting espresso in milk: resonant and familiar in its harmonious bittersweetness."
Espresso Classico,Paradise Roasters,Medium,Ecuador,93,A “classic” espresso in the old-school Italian style. Perhaps the addition of quality-sourced Robusta coffee gives the blend a throwback Italian vibe.
Ace Espresso,Propeller Coffee,Medium-Light,Colombia,93,"Propeller’s Ace Espresso Blend comprises an ever-evolving series of components that seem to always hit the mark; this version is bright, sweetly tart, and singingly confident."
Old Crow Cuppa Joe,Red Rooster Coffee Roaster,Medium,South America,93,"Suggests classic in its fusion of fruit and chocolate, but the inclusion of a natural-processed Central America coffee in the blend adds a newer-style, high-toned fruit note that is especially pretty in milk."
Ethiopia Sidamo Sasaba,Temple Coffee Roasters,Medium-Light,South-Central Ethiopia,92,"A balanced, friendly natural-processed Ethiopia cup characterized by cocoa-toned stone fruit and delicate florals."
Zambia Kateshi Natural Process,Paradise Roasters,Medium-Light,Sidamo (Also Sidama) Growing Region,92,A good choice for lovers of natural-processed coffees who prefer to avoid even a hint of sweet ferment; this cup is all clean fruit and florals.
Ethiopia Gedeb Worka Sakaro,Direct Coffee,Medium-Light,Gedeo Zone,95,"A vibrant, high-toned washed-processed Ethiopia cup with rich floral and citrus tones throughout, all enveloped in dark chocolate."
La Belleza Colombia,JBC Coffee Roasters,Medium-Light,Huila,94,"An intriguing Colombia cup with deep savory-sweetness, top notes of elegant flowers and undertones of earthy-sweet pipe tobacco."
Colombia Pink Bourbon,Paradise Roasters,Medium-Light,Colombia,94,A beautiful fruit- and floral-toned Colombia cup with undertones of rich chocolate and resonant sandalwood.
Crystalina,Steady State Roasting Company,Medium-Light,Colombia,94,"A lush, high-toned natural Colombia cup, as clean and bright as its name implies."
Kenya Kiambu Gititu AA,Kakalove Cafe,Medium-Light,South-Central Kenya,94,"A classic Kenya cup: bright, balanced, sweetly savory and deeply vibrant throughout."
Hawaiian Kona 100%,Cafe Virtuoso,Medium,Big Island Of Hawai'I,93,"A pretty, richly fruit-toned natural-processed Kona cup, organic-certified."
Guatemala Finca El General BlackLand Lot,Kakalove Cafe,Medium,Central Guatemala,92,"A friendly, cocoa- and nut-toned Guatemala espresso, both as straight shot and in cappuccino-scaled milk."
Ninety Plus Gesha Estates JBC Custom Lot #252,JBC Coffee Roasters,Medium-Light,Far Western Panama,94,"A coffee that in its wild, unruly intensity and intriguing aromatic drama challenges the boundaries of what coffee is and can be."
La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,Bird Rock Coffee Roasters,Medium-Light,Central Colombia,96,"A uniquely compelling coffee that is, at turns, spicy, floral, chocolaty and fruit-toned, yet in the end harmonious and complete."
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,Southern Colombia,92,"A deeply rich Colombia coffee with equal parts sweet (chocolate, flowers, fruit) and savory (hop flowers): balanced and inviting."
ASOPCAFA Espresso,JBC Coffee Roasters,Medium-Light,Southern Colombia,91,"A balanced, poised espresso in the newer, brighter style."
Rukera Espresso,JBC Coffee Roasters,Medium-Light,South-Central Kenya,97,"An espresso whose expression in the straight shot is classic Kenya in a dance of vibrant sweet and savory and shimmering aromatic complexity; in milk, it’s an almost addictive fine dessert with an umami edge."
Colombia Pink Bourbon El Corazon,Bird Rock Coffee Roasters,Medium-Light,Colombia,93,"A floral- and spice-toned cup: balanced, complex, multilayered."
L2 Love Espresso Blend,DoDo Kaffa,Medium-Light,Tolima Department,93,"A Kenya espresso blend, through and through, with the hallmark brightness and savory edge associated with this origin’s classically sweet-tart structure."
Guatemala-Ethiopia Espresso Blend,Dory Coffee Roasters,Medium-Light,Guatemala,93,"A “classic” third-wave espresso that presents bittersweet citrus, rich floral and lemony herb notes, all rounded by chocolate throughout."
Black Meow Blend,Kakalove Cafe,Medium,Guatemala,93,"Suggests traditional Italian-style espresso, bittersweet and accessible, with especially pretty chocolate notes."
Karibu Espresso Blend,De Clieu Coffee,Light,Panama,92,"An unusual espresso blend, sweet and tart, with intriguing spice notes suggesting cardamom."
Sun Sun Sun Sun Sun Sun Sun Sun Sun Blend,Small Eyes Cafe,Light,Panana,93,An avant-garde espresso blend of nine different natural-processed coffees — ideal for the lover of unabashedly fruit-toned coffees.
Ethiopia Hambela 1 Organic Natural Alaka,SkyTop Coffee,Medium-Light,Oromia Growing Region,92,"A pleasing Ethiopia natural: balanced, accessible, sweetly fruit-forward."
Brazil Ibicoara Chapada Diamantina Natural,SkyTop Coffee,Medium,Chapada Diamantina Region,91,"A solid Brazil natural: clean, deeply sweet, with a pleasing savory throughline."
Costa Rica Coto Brus-La Amistad,SkyTop Coffee,Medium-Light,Puntarenas,90,"A friendly, easy-drinking Costa Rica cup, lively with citrusy herb notes and sweet florals."
Karimikui AA Kenya,Collage Coffee,Light,Coto Brus,93,"A big, richly, authoritative sweet-savory Kenya, lifted and animated by shimmers of flowers and tart citrus."
Peru Antonio Regalado Diaz El Huyacan La Palma,Big Shoulders Coffee,Medium-Light,Peru,93,"An inviting coffee from Peru, characterized by deep florals and balanced by notes of stone fruit and citrus zest."
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,Guatemala,93,"Sweet and savory in equal measure, with a tart throughline: complex, nuanced, and multilayered."
Peru Natural Jose Herrera Lot 21,Kakalove Cafe,Medium-Light,Peru,93,"A heady coffee with clean, confident fruit notes throughout, supported by deep chocolate and spice-toned florals."
Burundi Dukorerikawa Natural,Flight Coffee Co.,Medium-Light,Burundi,93,An attractively bright and fruit-centered coffee with unique and inviting savory elements.
Guatemala Acatenango Washed Lot 503 Espresso,Kakalove Cafe,Medium,Guatemala,93,"A satisfying Guatemala espresso: balanced, with notes of stone fruit and cocoa. Especially attractive in the milk shot."
The Core Espresso,Highwire Coffee Roasters,Medium,Guatemala,94,"A masterful blend of coffees from four different coffee-producing countries that nets a vibrant, engaging shot and a rich, decadent cappuccino."
Espresso Mandarina,Amavida Coffee Roasters,Medium,Ethiopia,94,"A juicy, balanced espresso blend, both in the straight shot—where berry notes predominate—and in milk—where chocolate frames the fruit and florals."
SOB Espresso,Folly Coffee Roasters,Medium,Congo,94,"An unusually successful “melange” coffee in which the same blend of green beans is roasted both darker and lighter, then combined. This version hits all of the notes associated with a complete, classic espresso: rich, resounding, chocolaty, floral and fruit-toned."
Ethiopia Yirgacheffe Chelelektu Natural,Dragonfly Coffee Roasters,Medium-Light,Southern Ethiopia,96,"A complex, nuanced expression of a natural-processed Yirgacheffe coffee: fruit-forward, balanced, juicy and multi-layered — the fruit-centered genius of a natural conveyed with the completeness and inevitability of a classic."
Kenya Kimaruri,Caffe Luxxe,Medium-Light,South-Central Kenya,94,"A classic Kenya cup: sweet, tart, juicy all wrapped together with deep-toned red fruit and spicy floral notes."
Zambia Kateshi Natural,Peach Coffee Roasters,Medium-Light,Zambia,92,"A pretty, fruit-prominent natural-processed coffee expressing balance and finesse."
Kenya Handege,Greater Goods Coffee Roasters,Medium,Central Kenya,94,"Rather than the typical Kenya black currant and cocoa profile, this equally remarkable Kenya is driven by the intensity of the musky/rich elements and the juicy stone fruit and citrus."
Kauai Estate Reserve Sun-Dried Typica,Kauai Coffee Company,Medium-Light,Kauai,90,"Quiet, round, crisply balanced, with sweet stone fruit and cocoa supported by savory-leaning nut and oak."
Ecuador Loja Clara Sidra Natural Taza Dorada #2,94 Fresh Coffee,Medium-Light,Southern Ecuador,93,A sweetly bright yet roundly savory rendition of the rare Sidra varietal.
The Natural,Barrington Coffee Roasting,Medium-Light,Asia,92,"A compelling natural espresso — fully loaded with chocolaty, fruit-forward adventure."
Ethiopia Sidamo G4 Natural Espresso,Small Eyes Cafe,Medium-Light,South-Central Ethiopia,93,"A thoroughly enjoyable fruit-forward espresso with considerable complexity, expressed by the roaster through the romantic notion written on the retail bag, “The road to love is very happy, Blowing the horn at 3pm.”"
Green-Tip Geisha,Finca Las Nieves,Medium-Light,Mexico,94,"An impressive example of Mexico-grown Geisha: elegant, delicate, nuanced, and deeply engaging."
Saint Helena Island Peaberry,Paradise Roasters,Medium-Light,Saint Helena Island,93,"An extremely rare, limited-production coffee procured by Miguel Meza of Paradise Roasters, well worth sampling for its balanced, pleasingly complex cup profile."
Philippines Sitio Naguey Natural,Paradise Roasters,Medium-Light,Atok,90,A rare opportunity to sample a fine specialty coffee emerging valiantly from a neglected coffee-growing region where 90 percent of coffee grown is of the Robusta species and almost all is consumed locally.
Ethiopia Guji Queen Honey,Pro Aroma Enterprise Coffee,Medium-Light,South-Central Ethiopia,93,"Deep, floral and cleanly fruit-toned, with prominent notes of dried stone fruit, spicy florals, and rich aromatic wood."
Ethiopia Civet Sidama Papilio Natural,Good Chance Biotechnology,Medium-Light,South-Central Ethiopia,93,A sweet-toned natural Ethiopia cup that supplements ripe berry notes and dark chocolate with inviting hints of rich sandalwood.
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,Gedeo Zone,93,Fragrant jasmine and pungent incense-like notes in distinguish this crisply graceful wet-processed Ethiopia.
Ethiopia Washed Guji Dimtu Espresso,Kakalove Cafe,Medium-Dark,Oromia Region,93,A fine darker-roasted espresso; the aromatic roast notes are saturated with Ethiopia chocolate and flowers. Especially attractive in the milk shot.
Barichu Double,Barrington Coffee Roasting,Medium-Light,South-Central Kenya,94,"A mesmerizing Kenya that is equally balanced among sweet, tart and savory impulses, with a particularly lively acidity."
GA 400 Espresso,Peach Coffee Roasters,Medium-Light,Colombia,93,"A creative blend of washed and natural-processed coffees that complement each other with primary notes of both chocolate and fruit, both in the straight shot and in milk."
Papua New Guinea Timuza,Magnolia Coffee,Medium-Light,Papua New Guinea,92,"A friendly, engaging PNG cup with leading notes of deep florals supported by sweet nut tones throughout the profile."
Rukera Kenya,JBC Coffee Roasters,Medium-Light,South-Central Kenya,97,"One of the most striking coffees we’ve tested this year: levitatingly vibrant, profoundly integrated, with savory and sweet in deep harmony — and, paradoxically, both classic and original in its expression of the great Kenya style."
Trilogy,Barrington Coffee Roasting,Medium-Light,Africa,92,A blend of washed and wet-hulled coffees that reads like a friendly Sumatra: sweetly wood-framed with notes of chocolate and baking spices.
Kenya Kiambu Uklili AA,Kakalove Cafe,Medium,South-Central Kenya,95,"A harmonious, lyrical, balanced Kenya coffee, classic in its expression of both sweet and savory impulses."
Ethiopia Guji Shakisso Natural Lot 24,Kakalove Cafe,Medium-Light,Oromia Region,94,"An elegant natural-processed Ethiopia that is fruit-forward without a hint of ferment: crisp, clean, juicy-sweet."
Ethiopia Washed Yirgacheffe Nafasha Lot,Kakalove Cafe,Medium-Light,Southern Ethiopia,94,"An integrated, citrus-inflected washed Ethiopia cup with a cocoa throughline and spicy floral notes, particularly in the aroma."
La Avila SL28 El Salvador,PT's Coffee Roasting Co.,Medium-Light,Santiago De María,93,"The nut notes are pleasant but just a front; drink it for its grown-up dry chocolate, zesty lime and elderflower notes that emerge with just a little patience."
El Salvador,Plat Coffee Roastery,Medium,Southeastern El Salvador,94,"Balanced and comprehensive in structure, with a subtle but grand array of aromatics: honey-like flowers, crisp lavender-like flowers, juicy yet savory fruit (we called it roasted pineapple), nut, dry chocolate."
Talquezalar El Salvador,JBC Coffee Roasters,Medium-Light,Chalatenango Department,92,"Both delicate and resonant, animated by sweet, honeyish nut and lime-toned citrus."
Finca Kilimanjaro Natural,Willoughby's Coffee & Tea,Medium-Light,Northwestern El Salvador,92,"A nut-toned bitter-savory inclination is lifted majestically by a deep, cherry-like sweetness. Drink it for the contrast, and the big, syrupy mouthfeel."
Finca San Antonio El Salvador,Dinwei Cafe,Light,Northwestern El Salvador,92,"A quietly original Geisha: sweet-savory, complexly aromatic."
Mario Aguilar Grand Cru El Salvador,Deeper Roots Coffee,Medium,Northwestern El Salvador,91,Cedary dark chocolate and subtle walnut and peach notes make this a particularly accessible version of the great Pacamara profile.
José Flores El Salvador Natural,Duluth Coffee,Medium,Northwestern El Salvador,91,"Almost two coffees, one dominated by a bracing bitter-leaning structure, the other sweet and complexly aromatic. Enjoy it for its paradox and its particularly syrupy mouthfeel."
Ethiopia Yirgacheffe Worka Gotiti Natural,94 Fresh Coffee,Medium-Light,Southern Ethiopia,93,A sweetly fermenty natural-processed Ethiopia turned slightly more austere by bittersweet floral and spicy aromatic wood notes.
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,Medium,Guji Zone,94,"Lovely Ethiopia natural: cleanly fruit-toned, crisp, resonant, and sweet through and through."
Ethiopia Natural Yirgacheffe Blue Donkey Lot,Kakalove Cafe,Medium-Light,Yirgacheffe Growing Region,94,"A juicy, rich natural-processed Yirgacheffe cup with clean fruit and cocoa tones throughout and an appealing savory edge."
Guatemala Guayabales Single-Origin Espresso,Temple Coffee Roasters,Medium,Guatemala,93,"A single-origin espresso from Guatemala pleasingly floral-prominent in both the straight shot and with milk. Rich, crisp, high-toned."
Kenya Chania Estate,Temple Coffee Roasters,Medium,Central Kenya,92,"A pleasing umami-driven Kenya that foreground notes of sweet, ripe tomato with enveloped in rich florals and crisp chocolate."
Guatemala Los Santos,Temple Coffee Roasters,Medium-Light,Guatemala,92,A richly bittersweet Guatemala cup punctuated by pretty notes of citrus zest throughout.
Geisha Village Auction Lot #11,JBC Coffee Roasters,Medium-Light,Southern Ethiopia,94,"Exhilarating, bright, balmy: like drinking a spring day with a cocoa chaser."
Panama Finca Kalithea Natural Geisha,Kakalove Café,Medium-Light,Panama,96,"An exquisitely balanced natural-processed Geisha with the deep, sweet complexity the type can offer without a hint of ferment: crisply sweet fruit top and bottom notes, along with rich florals and chocolate tones in the mid-palate, all enhanced by a whisper of sandalwood."
Panama Hacienda La Esmeralda Super Mario 6 Geisha,Dragonfly Coffee Roasters,Medium-Light,Western Panama,95,"Extravagant florals and spice-toned cocoa notes characterize this deeply sweet, washed-processed Panama cup with a nuanced yet omnipresent umami impulse."
Panama Geisha Alto Jaramillo,Caffe Luxxe,Medium-Light,Boquete Growing Region,94,"An impressively smooth, coherent structure supports a quietly pleasing set of Geisha aromatics. Should satisfy those who may find the full-on Panama Geisha fireworks a bit much but who still enjoy the distinctive character of this rare variety."
Colombia Laderas del Tapias Estate Natural Geisha,CafeTaster,Medium-Light,Caldas Department,94,A deep berry-toned cup with a juicy hint of sweet ferment and rich cocoa notes throughout.
Gesha Village Natural Lot #19,GK Coffee,Medium-Light,Southern Ethiopia,94,"A beautifully structured natural-processed Ethiopia Gesha, with striking sweetness pleasingly complicated by notes of aromatic resin and tropical fruit."
Gesha Village 1931 Lot 27,Mudhouse Coffee Roasters,Medium-Light,Southern Ethiopia,94,"A pleasingly coherent coffee that is both sweet and savory in harmonious balance, with floral and fruit tones throughout and an herbaceous note that grounds and enriches the whole."
Ethiopia Sidamo Gora Kone,Temple Coffee Roasters,Medium-Light,South-Central Ethiopia,94,"A delicately complex and nuanced coffee, subtly composed around fruit and musky floral tones."
Classic Nine Espresso,HWC Roasters,Medium-Dark,Sidamo (Also Sidama) Growing Region,91,"An interpretation of classic espresso, with rich, smoky-toned chocolate alongside sweet fruit. Particularly pleasing in three parts milk."
Kebele Village Espresso,JBC Coffee Roasters,Medium-Light,Southern Ethiopia,94,A lovely espresso whose tartness is integrated with a deep and embracing sweetness.
Kebele Village Ethiopia,JBC Coffee Roasters,Medium-Light,Southern Ethiopia,93,"A coffee for those who like their washed Ethiopias high-toned and tart-leaning, with an abiding cocoa- and floral-toned sweetness throughout."
D31 The New Life,Dante Coffee,Medium-Light,Sumatra,92,"An undeniably powerful espresso, and an interesting and engaging interpretation of the ancient Mocha-Java blend concept, combining fruit and flowers from an Ethiopia/Yemen coffee with rich spice and sweet depth from an Indonesia."
Panama Finca San Sebastian,Jackrabbit Java,Medium-Light,Western Panama,94,"A resonant expression of the traditional Panama washed cup, driven by deep chocolate notes supported by subtle but persistent sweet floral tones. A bargain at $12 for 12 ounces."
Rwanda Nyarusiza Station,Jackrabbit Java,Medium-Light,Southern Province,93,"A sweet, pleasingly floral coffee animated by berry and cocoa notes throughout."
Murang’a Kenya,JBC Coffee Roasters,Medium-Light,Central Kenya,93,"A big-bodied Kenya, zesty, deep, yet delicately layered in the aromatics."
Murang’a Kenya Espresso,JBC Coffee Roasters,Medium-Light,Central Kenya,93,A bold sweet-savory espresso with a striking and original range of aromatics.
Coffea Diversa Cioiccie,Paradise Roasters,Medium-Light,Murang'A County,92,"An extremely rare, limited-production coffee procured by Miguel Meza of Paradise Roasters, unique in both backstory and cup."
Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,Light,Gedeo Zone,94,"A complex, umami- and citrus-driven natural-processed Ethiopia cup that hits all the pleasure spots: sweet, tart and savory in harmonious balance."
