Store Name,City,State/Province,Country,Phone Number,Timezone,Longitude,Latitude
1365 Wilson Rd N,Oshawa,ON,CA,905-728-8312,GMT-05:00 America/Toronto,-78.86,43.94
Oshawa Centre Food Court,Oshawa,ON,CA,,GMT-05:00 America/Toronto,-78.88,43.89
125 Riocan Ave,Ottawa,ON,CA,613-823-3345,GMT-05:00 America/Toronto,-75.74,45.27
3302 Woodroffe Avenue,Ottawa,ON,CA,613-823-9903,GMT-05:00 America/Toronto,-75.72,45.28
326 Elgin Street,Ottawa,ON,CA,(613) 232-9525,GMT-05:00 America/Toronto,-75.69,45.42
YOW - Domestic Term-Gate 22 Ottawa,Ottawa,ON,CA,613-248-2000,GMT-05:00 America/Toronto,-75.67,45.32
787 Bank Street,Ottawa,ON,CA,(613) 232-4166,GMT-05:00 America/Toronto,-75.69,45.4
47 Rideau Street,Ottawa,ON,CA,(613) 562-0588,GMT-05:00 America/Toronto,-75.69,45.43
Compass @ Lord Elgin,Ottawa,ON,CA,6132386617,GMT-05:00 America/Toronto,-75.69,45.42
129 Bank Street,Ottawa,ON,CA,(613) 238-7613,GMT-05:00 America/Toronto,-75.7,45.42
1124 Bank Street,Ottawa,ON,CA,(613) 730-0052,GMT-05:00 America/Toronto,-75.68,45.39
University of Ottawa - Laurier,Ottawa,ON,CA,613-562-5800,GMT-05:00 America/Toronto,-75.69,45.42
"100 Trainyards Drive, Unit 14A",Ottawa,ON,CA,613-241-8858,GMT-05:00 America/Toronto,-75.65,45.41
421 Richmond Road,Ottawa,ON,CA,613-715-9796,GMT-05:00 America/Toronto,-75.76,45.39
2222 Carling Avenue,Ottawa,ON,CA,613-828-7729,GMT-05:00 America/Toronto,-75.77,45.37
1910 St. Laurent Blvd,Ottawa,ON,CA,613-248-0550,GMT-05:00 America/Toronto,-75.62,45.4
340 Albert Street,Ottawa,ON,CA,613-232-9089,GMT-05:00 America/Toronto,-75.7,45.42
204 Rideau Street-Ottawa,Ottawa,ON,CA,6133019126,GMT-05:00 America/Toronto,-75.69,45.43
124 O'Connor Street,Ottawa,ON,CA,613-232-0959,GMT-05:00 America/Toronto,-75.7,45.42
Ottawa Marriott,Ottawa,ON,CA,613-238-1122,GMT-05:00 America/Toronto,-75.7,45.42
Carleton University,Ottawa,ON,CA,613 520 2600,GMT-05:00 America/Toronto,-75.7,45.38
349 Preston Street,Ottawa,ON,CA,613-236-1743,GMT-05:00 America/Toronto,-75.71,45.4
50  O'Connor Street,Ottawa,ON,CA,(613) 233-8368,GMT-05:00 America/Toronto,-75.7,45.42
1459 Ogilvie Road,Ottawa,ON,CA,613-744-3528,GMT-05:00 America/Toronto,-75.62,45.43
81 Metcalfe Street,Ottawa,ON,CA,613-569-6060,GMT-05:00 America/Toronto,-75.7,45.42
"62 York Street, Ottawa (Byward M.)",Ottawa,ON,CA,6137163725,GMT-05:00 America/Toronto,-75.69,45.43
1200 St. Laurent Blvd.,Ottawa,ON,CA,613-744-7858,GMT-05:00 America/Toronto,-75.64,45.42
690 Eagleson Road,Ottawa,ON,CA,613-595-1569,GMT-05:00 America/Toronto,-75.87,45.29
380 Coventry Road,Ottawa,ON,CA,613-744-6471,GMT-05:00 America/Toronto,-75.65,45.42
2735 Iris Street,Ottawa,ON,CA,(613) 820-0032,GMT-05:00 America/Toronto,-75.79,45.35
1350 Baseline Road,Ottawa,ON,CA,613-226-8606,GMT-05:00 America/Toronto,-75.74,45.36
50 Rideau Centre,Ottawa,ON,CA,613-230-0330,GMT-05:00 America/Toronto,-75.69,45.43
100 Bayshore Drive,Ottawa,ON,CA,613-828-6732,GMT-05:00 America/Toronto,-75.81,45.35
1615 Orleans Blvd,Ottawa,ON,CA,6138414995,GMT-05:00 America/Toronto,-75.52,45.46
455 Bank Street Unit 3,Ottawa,ON,CA,613-238-7953,GMT-05:00 America/Toronto,-75.69,45.41
1620 Scott Street,Ottawa,ON,CA,613-798-0127,GMT-05:00 America/Toronto,-75.73,45.4
330 West Hunt-Ottawa,Ottawa,ON,CA,613 224 7342,GMT-05:00 America/Toronto,-75.71,45.34
Teavana - St. Laurent Centre,Ottawa,ON,CA,613-688-1241,GMT-05:00 America/Toronto,-75.64,45.42
Rideau Ctr. Dining Hall,Ottawa,ON,CA,(613) 286-7546,GMT-05:00 America/Toronto,-75.69,45.42
Carleton University - Page Break,Ottawa,ON,CA,613 520 2600,GMT-05:00 America/Toronto,-75.7,45.39
2210 Bank Street,Ottawa,ON,CA,6137333227,GMT-05:00 America/Toronto,-75.66,45.36
Teavana - Carlingwood,Ottawa,ON,CA,613-288-0565,GMT-05:00 America/Toronto,-75.77,45.37
131 Queen Street,Ottawa,ON,CA,613-232-0731,GMT-05:00 America/Toronto,-75.7,45.42
1181 Greenbank Road,Ottawa,ON,CA,6138430265,GMT-05:00 America/Toronto,-75.75,45.27
294 Louisa St,Parry Sound,ON,CA,705-746-1159,GMT-05:00 America/Toronto,-80.01,45.35
841 Rye St,Peterborough,ON,CA,705-755-1071,GMT-05:00 America/Toronto,-78.35,44.28
Chapters - Peterborough,Peterborough,ON,CA,705-740-2272,GMT-05:00 America/Toronto,-78.34,44.28
Teavana - Pickering Town Centre,Pickering,ON,CA,905-831-3832,GMT-05:00 America/Toronto,-79.09,43.84
1300 Kingston Rd,Pickering,ON,CA,905-837-2918,GMT-05:00 America/Toronto,-79.09,43.84
111 Lakeshore Rd W,Port Credit,ON,CA,905-278-7562,GMT-05:00 America/Toronto,-79.59,43.55
HMSHost Motorways-King City,Port Hope,ON,CA,9058322132,GMT-05:00 America/Toronto,-78.27,43.96
Port Hope Travel Plaza-Food Court,Port Hope,ON,CA,905-786-2100,GMT-05:00 America/Toronto,-78.36,43.99
1241 Elgin Mills Road East,Richmond Hill,ON,CA,905-508-9956,GMT-05:00 America/Toronto,-79.4,43.9
Longos-Richmond Hill,Richmond Hill,ON,CA,905-770-7029,GMT-05:00 America/Toronto,-79.44,43.89
Sheraton Parkway Toronto North- Ric,Richmond Hill,ON,CA,,GMT-05:00 America/Toronto,-79.38,43.85
8750 Bayview Ave,Richmond Hill,ON,CA,905-881-9594,GMT-05:00 America/Toronto,-79.41,43.84
10520 Yonge St,Richmond Hill,ON,CA,(905) 508-7474,GMT-05:00 America/Toronto,-79.44,43.88
11710 Yonge St,Richmond Hill,ON,CA,905-770-3197,GMT-05:00 America/Toronto,-79.45,43.91
"11108 Yonge Street, Richmond Hill",Richmond Hill,ON,CA,9057708659,GMT-05:00 America/Toronto,-79.44,43.9
Teavana - Hillcrest,Richmond Hill,ON,CA,905-883-3832,GMT-05:00 America/Toronto,-79.43,43.85
"1273 London Rd, Unit 1",Sarnia,ON,CA,519-336-2128,GMT-05:00 America/New_York,-82.36,42.98
Teavana - Sault Ste Marie,Sault Ste. Marie,ON,CA,705-949-6770,GMT-05:00 America/Toronto,-84.34,46.51
Pinos Get Fresh-Sault Ste Marie,Sault Ste. Marie,ON,CA,,GMT-05:00 America/Toronto,-84.29,46.51
Eglinton & Warden,Scarborough,ON,CA,416-759-7286,GMT-05:00 America/Toronto,-79.29,43.73
Scarborough Chptrs,Scarborough,ON,CA,4163354016,GMT-05:00 America/Toronto,-79.28,43.77
43 Milner Avenue Building C,Scarborough,ON,CA,4163350111,GMT-05:00 America/Toronto,-79.25,43.78
420 Vansickle Rd,St. Catharines,ON,CA,9056419393,GMT-05:00 America/Toronto,-79.27,43.15
343 Glendale Ave,St. Catharines,ON,CA,905-227-1830,GMT-05:00 America/Toronto,-79.22,43.14
261 Martindale Rd,St. Catharines,ON,CA,905-688-0267,GMT-05:00 America/Toronto,-79.27,43.17
285 Geneva St,St. Catharines,ON,CA,(905) 935-0330,GMT-05:00 America/Toronto,-79.24,43.18
306 Lake St,St. Catharines,ON,CA,905 934-9977,GMT-05:00 America/Toronto,-79.25,43.18
387 Scott St,St. Catharines,ON,CA,905-937-5454,GMT-05:00 America/Toronto,-79.23,43.19
1783 Stone Church Rd,Stoney Creek,ON,CA,905-578-1411,GMT-05:00 America/Toronto,-79.81,43.2
369 - 377 Highway 8,Stoney Creek,ON,CA,905-664-9494,GMT-05:00 America/Toronto,-79.73,43.22
Chapters - Sudbury,Sudbury,ON,CA,705-525-5644,GMT-05:00 America/Toronto,-80.94,46.51
Teavana - New Sudbury Centre,Sudbury,ON,CA,705-560-2006,GMT-05:00 America/Toronto,-80.95,46.52
Laurentian University - J,Sudbury,ON,CA,7056736559,GMT-05:00 America/Toronto,-80.97,46.47
7355 Bayview Ave,Thornhill,ON,CA,905-771-9229,GMT-05:00 America/Toronto,-79.4,43.81
7787 Yonge St,Thornhill,ON,CA,905-762-9889,GMT-05:00 America/Toronto,-79.42,43.82
Safeway - Thunder Bay #664,Thunder Bay,ON,CA,,GMT-05:00 America/Toronto,-89.22,48.43
Safeway - Thunder Bay #682,Thunder Bay,ON,CA,,GMT-05:00 America/Toronto,-89.25,48.45
949 Fort William Road,Thunder Bay,ON,CA,807-473-4226,GMT-05:00 America/Toronto,-89.24,48.4
Chapters - Thunder Bay,Thunder Bay,ON,CA,807-346-9545,GMT-05:00 America/Toronto,-89.24,48.42
Safeway - Thunder Bay #681,Thunder Bay,ON,CA,,GMT-05:00 America/Toronto,-89.28,48.38
Church & Gerrard,Toronto,ON,CA,416 593 8487,GMT-05:00 America/Toronto,-79.38,43.66
Dundas & Roncesvalles,Toronto,ON,CA,416-538-0211,GMT-05:00 America/Toronto,-79.45,43.65
Dundas & Aukland,Toronto,ON,CA,(416) 231-2098,GMT-05:00 America/Toronto,-79.54,43.64
University of Toronto/Toronto/Medic,Toronto,ON,CA,4165984342,GMT-05:00 America/Toronto,-79.4,43.66
250 Queen St. W.,Toronto,ON,CA,(416) 595-5868,GMT-05:00 America/Toronto,-79.39,43.65
65 Queen Street West Concourse,Toronto,ON,CA,4163178852,GMT-05:00 America/Toronto,-79.38,43.65
1088 Yonge St,Toronto,ON,CA,416-924-0697,GMT-05:00 America/Toronto,-79.39,43.68
York Mills Centre,Toronto,ON,CA,(647) 921-1539,GMT-05:00 America/Toronto,-79.41,43.74
Ellesmere & Midland D/T,Toronto,ON,CA,(647) 281-7615,GMT-05:00 America/Toronto,-79.27,43.77
900 Eglinton Ave. W.,Toronto,ON,CA,(416) 780-9138,GMT-05:00 America/Toronto,-79.43,43.7
Radisson Admiral Toronto Harbourfro,Toronto,ON,CA,4162033333,GMT-05:00 America/Toronto,-79.39,43.64
Bloor & Church,Toronto,ON,CA,(416) 926-0896,GMT-05:00 America/Toronto,-79.38,43.67
Yonge & College,Toronto,ON,CA,(416) 922-6696,GMT-05:00 America/Toronto,-79.38,43.66
Brookfield Place Front/Bay - PATH,Toronto,ON,CA,416-304-0413,GMT-05:00 America/Toronto,-79.38,43.65
Coxwell & Plains,Toronto,ON,CA,(416) 425-4741,GMT-05:00 America/Toronto,-79.33,43.7
Danforth & Broadview,Toronto,ON,CA,(416) 778-7842,GMT-05:00 America/Toronto,-79.36,43.68
6 Charles Street (aka 675 Yonge),Toronto,ON,CA,(416) 922-1331,GMT-05:00 America/Toronto,-79.39,43.67
Finch & Chesswood,Toronto,ON,CA,6479622765,GMT-05:00 America/Toronto,-79.48,43.77
Thompson Residences,Toronto,ON,CA,4165690101,GMT-05:00 America/Toronto,-79.4,43.64
Richmond Adelaide Ctr -PATH Concrse,Toronto,ON,CA,(416) 369-0187,GMT-05:00 America/Toronto,-79.38,43.65
Dupont & Christie,Toronto,ON,CA,416 531 9208,GMT-05:00 America/Toronto,-79.42,43.67
Bathurst & Finch,Toronto,ON,CA,(416) 398-1264,GMT-05:00 America/Toronto,-79.44,43.77
Cumberland & Critchley Lane,Toronto,ON,CA,(416) 962-2106,GMT-05:00 America/Toronto,-79.39,43.67
Longos @ Leaside,Toronto,ON,CA,416-421-6806,GMT-05:00 America/Toronto,-79.36,43.71
Metro Liberty Village - #720,Toronto,ON,CA,4165304100,GMT-05:00 America/Toronto,-79.42,43.64
145 Richmond Street West,Toronto,ON,CA,(416) 360-2821,GMT-05:00 America/Toronto,-79.39,43.65
Brookfield Place - PATH Concourse,Toronto,ON,CA,416/214-6160,GMT-05:00 America/Toronto,-79.38,43.65
Yorkdale Indigo,Toronto,ON,CA,416-782-7998,GMT-05:00 America/Toronto,-79.45,43.73
765 Yonge,Toronto,ON,CA,416-962-8555,GMT-05:00 America/Toronto,-79.39,43.67
Longo's York Mills,Toronto,ON,CA,4163853113,GMT-05:00 America/Toronto,-79.36,43.75
Lakeshore,toronto,ON,CA,4166756622,GMT-05:00 America/Toronto,-79.52,43.6
Finch & Hwy 27,Toronto,ON,CA,(647) 961-0635,GMT-05:00 America/Toronto,-79.6,43.73
Dundas & Elizabeth,Toronto,ON,CA,416-979-7052,GMT-05:00 America/Toronto,-79.39,43.66
Dynamic Funds Tower - 1 Adelaide E,Toronto,ON,CA,416-955-1638,GMT-05:00 America/Toronto,-79.38,43.65
2253 Queen St. E. & Hammersmith,Toronto,ON,CA,(416) 691-6262,GMT-05:00 America/Toronto,-79.29,43.67
205 College at Beverly,Toronto,ON,CA,(416) 341-0101,GMT-05:00 America/Toronto,-79.4,43.66
Laird & Wicksteed,Toronto,ON,CA,416-429-8827,GMT-05:00 America/Toronto,-79.36,43.71
1545 Bayview,Toronto,ON,CA,(416) 322-5519,GMT-05:00 America/Toronto,-79.37,43.71
International Plaza Hotel,Toronto,ON,CA,4162441711,GMT-05:00 America/Toronto,-79.58,43.69
King & Peter,Toronto,ON,CA,416-204-9967,GMT-05:00 America/Toronto,-79.39,43.65
Teavana - Scotia Plaza,Toronto,ON,CA,416-640-1405,GMT-05:00 America/Toronto,-79.38,43.65
485 Church at Wellesley,Toronto,ON,CA,(416) 922-2440,GMT-05:00 America/Toronto,-79.38,43.66
1740-42 Avenue Rd.,Toronto,ON,CA,(416) 780-1380,GMT-05:00 America/Toronto,-79.42,43.73
Royal Bank Plaza - PATH Concourse,Toronto,ON,CA,416-214-5120,GMT-05:00 America/Toronto,-79.38,43.65
1984 Queen St.East,Toronto,ON,CA,(416) 690-0731,GMT-05:00 America/Toronto,-79.3,43.67
Bathurst & Fleet,Toronto,ON,CA,(416) 815-8076,GMT-05:00 America/Toronto,-79.4,43.64
Birchmount & Sheppard,Toronto,ON,CA,(437) 999-7347,GMT-05:00 America/Toronto,-79.3,43.78
Church & Adelaide,Toronto,ON,CA,(416) 703-5914,GMT-05:00 America/Toronto,-79.37,43.65
Laird Eglinton,Toronto,ON,CA,(416) 423-5138,GMT-05:00 America/Toronto,-79.36,43.71
Castlefield & Caledonia CA,Toronto,ON,CA,(416) 785-3025,GMT-05:00 America/Toronto,-79.46,43.7
Marriott Renaissance Hotel Toronto,Toronto,ON,CA,4163417100,GMT-05:00 America/Toronto,-79.39,43.64
Don Mills & Lawrence,Toronto,ON,CA,416-331-9861,GMT-05:00 America/Toronto,-79.34,43.74
Bay & Cumberland,Toronto,ON,CA,416-934-0881,GMT-05:00 America/Toronto,-79.39,43.67
Yonge & Gerrard,Toronto,ON,CA,(416) 977-6454,GMT-05:00 America/Toronto,-79.38,43.66
Sherway Gardens,Toronto,ON,CA,(416) 621-4954,GMT-05:00 America/Toronto,-79.56,43.61
95 Wellington,Toronto,ON,CA,(416) 777-0271,GMT-05:00 America/Toronto,-79.38,43.65
Bedford & Bloor,Toronto,ON,CA,(416) 926-0166,GMT-05:00 America/Toronto,-79.4,43.67
Parkhome Concourse,Toronto,ON,CA,6479212652,GMT-05:00 America/Toronto,-79.41,43.77
Yonge & Park Home,Toronto,ON,CA,416-223-9903,GMT-05:00 America/Toronto,-79.41,43.77
Kingston Rd & Bingham Ave,Toronto,ON,CA,416-686-1309,GMT-05:00 America/Toronto,-79.28,43.68
Longos-Bloor St,Toronto,ON,CA,416-622-4797,GMT-05:00 America/Toronto,-79.38,43.67
Teavana - Brookfield Place,Toronto,ON,CA,416-640-5340,GMT-05:00 America/Toronto,-79.38,43.65
Yonge & Dundas,Toronto,ON,CA,(416) 593-9790,GMT-05:00 America/Toronto,-79.38,43.66
Spadina & Fort York,Toronto,ON,CA,(416) 623-0546,GMT-05:00 America/Toronto,-79.39,43.64
Bay & Grosvenor,Toronto,ON,CA,(416) 925-1045,GMT-05:00 America/Toronto,-79.39,43.66
Simcoe Place,Toronto,ON,CA,(416) 598-2804,GMT-05:00 America/Toronto,-79.39,43.65
8 Wellesley,Toronto,ON,CA,(416) 927-8277,GMT-05:00 America/Toronto,-79.38,43.67
30 Carlton St E - Holiday Inn,Toronto,ON,CA,(416) 340-1948,GMT-05:00 America/Toronto,-79.38,43.66
Bathurst & Sheppard,Toronto,ON,CA,416-631-6868,GMT-05:00 America/Toronto,-79.44,43.76
Bloor & Bay (Holt Renfrew Centre),Toronto,ON,CA,416-922-0770,GMT-05:00 America/Toronto,-79.39,43.67
Southcore Financial Tower,Toronto,ON,CA,(416) 607-6570,GMT-05:00 America/Toronto,-79.38,43.64
Yonge & Eglinton- Minto Tower,Toronto,ON,CA,416-488-1930,GMT-05:00 America/Toronto,-79.4,43.71
829 The Queensway,Toronto,ON,CA,(647) 921-4362,GMT-05:00 America/Toronto,-79.51,43.62
Danforth & Langford,Toronto,ON,CA,416-461-3771,GMT-05:00 America/Toronto,-79.34,43.68
King & Dufferin,Toronto,ON,CA,(416) 539-8814,GMT-05:00 America/Toronto,-79.43,43.64
Allen Road & Rimrock Road,Toronto,ON,CA,(416) 633-6795,GMT-05:00 America/Toronto,-79.47,43.76
King Street West & Blue Jays Way,Toronto,ON,CA,416 595 9213,GMT-05:00 America/Toronto,-79.39,43.65
Bloor & Thompson,Toronto,ON,CA,416-231-6116,GMT-05:00 America/Toronto,-79.51,43.65
Sheppard & Leslie- CTC,TORONTO,ON,CA,416 730-8481,GMT-05:00 America/Toronto,-79.37,43.77
Dundas & Quebec,Toronto,ON,CA,416 604-3877,GMT-05:00 America/Toronto,-79.47,43.67
University of Toronto - Scarborough,Toronto,ON,CA,416-287-7058,GMT-05:00 America/Toronto,-79.18,43.78
542 College / Euclid,Toronto,ON,CA,(416) 964-6006,GMT-05:00 America/Toronto,-79.41,43.66
Scotia Plaza,Toronto,ON,CA,(416) 214-5179,GMT-05:00 America/Toronto,-79.38,43.65
Dufferin & Steeles,Toronto,ON,CA,416-665-2002,GMT-05:00 America/Toronto,-79.47,43.79
Queen & Simcoe,Toronto,ON,CA,416-595-9438,GMT-05:00 America/Toronto,-79.39,43.65
Church & Shuter,Toronto,ON,CA,416-941-9232,GMT-05:00 America/Toronto,-79.38,43.65
3300 Bloor Street West,Toronto,ON,CA,4162393788,GMT-05:00 America/Toronto,-79.52,43.65
Hanna & Atlantic,Toronto,ON,CA,416-538-6818,GMT-05:00 America/Toronto,-79.42,43.64
Humber College,Toronto,ON,CA,4166756622,GMT-05:00 America/Toronto,-79.61,43.73
St. Clair & Christie,Toronto,ON,CA,416-653-8181,GMT-05:00 America/Toronto,-79.43,43.68
The Bay on Queen Street within Food,Toronto,ON,CA,,GMT-05:00 America/Toronto,-79.38,43.65
Loblaw Queen's Quay,Toronto,ON,CA,4163040611,GMT-05:00 America/Toronto,-79.37,43.65
Toronto General Hospital,Toronto,ON,CA,416-979-0660,GMT-05:00 America/Toronto,-79.39,43.66
Metro Centre CA,Toronto,ON,CA,(416) 597-1352,GMT-05:00 America/Toronto,-79.39,43.65
Teavana - Yorkdale,Toronto,ON,CA,416-785-3921,GMT-05:00 America/Toronto,-79.46,43.72
Yonge & King,Toronto,ON,CA,(416) 363-5983,GMT-05:00 America/Toronto,-79.38,43.65
Queen & Victoria,Toronto,ON,CA,4163638555,GMT-05:00 America/Toronto,-79.38,43.65
York & Bremner,Toronto,ON,CA,416-214-0820,GMT-05:00 America/Toronto,-79.38,43.64
Avenue & Roe,Toronto,ON,CA,416-787-9353,GMT-05:00 America/Toronto,-79.42,43.73
444 Eglinton Ave. W.,Toronto,ON,CA,416-488-0178,GMT-05:00 America/Toronto,-79.41,43.7
1156 Kennedy Road,Toronto,ON,CA,(416) 752-5818,GMT-05:00 America/Toronto,-79.28,43.75
Yonge & Shuter (TEC),Toronto,ON,CA,416-593-8570,GMT-05:00 America/Toronto,-79.38,43.65
Longos-Elizabeth St,Toronto,ON,CA,4165979002,GMT-05:00 America/Toronto,-79.39,43.66
Adelaide & Peter,Toronto,ON,CA,4165967797,GMT-05:00 America/Toronto,-79.39,43.65
Bay & Bloor Indigo,Toronto,ON,CA,416-925-8989,GMT-05:00 America/Toronto,-79.39,43.67
Royal York & The Westway,Toronto,ON,CA,(416) 242-3563,GMT-05:00 America/Toronto,-79.53,43.7
Waterpark Place,Toronto,ON,CA,(416) 607-5590,GMT-05:00 America/Toronto,-79.38,43.64
Bay & Dundas (TEC),Toronto,ON,CA,416 506-1602,GMT-05:00 America/Toronto,-79.38,43.66
Victoria Park & Consumers Rd.,Toronto,ON,CA,416-493-5209,GMT-05:00 America/Toronto,-79.32,43.77
Longo's St. Clair,Toronto,ON,CA,4169216108,GMT-05:00 America/Toronto,-79.4,43.69
Compass @ Ryerson,Toronto,ON,CA,,GMT-05:00 America/Toronto,-79.38,43.66
Morningside & Lawrence,Toronto,ON,CA,416-208-9477,GMT-05:00 America/Toronto,-79.19,43.77
York & Adelaide,Toronto,ON,CA,(416) 367-9779,GMT-05:00 America/Toronto,-79.38,43.65
Danforth & Monarch Park,Toronto,ON,CA,(416) 778-0582,GMT-05:00 America/Toronto,-79.33,43.68
Kipling & Evans,Toronto,ON,CA,(416) 201-0268,GMT-05:00 America/Toronto,-79.53,43.62
Queen & Brookmount - Toronto,Toronto,ON,CA,416-686-4999,GMT-05:00 America/Toronto,-79.31,43.67
Teavana - Don Mills,Toronto,ON,CA,416-640-1079,GMT-05:00 America/Toronto,-79.34,43.73
Longos - Maple Leaf Square,Toronto,ON,CA,416-366-1717,GMT-05:00 America/Toronto,-79.38,43.64
Loblaw Store# 1021 Musgrave,Toronto,ON,CA,4166943838,GMT-05:00 America/Toronto,-79.29,43.69
Queens Quay & York,Toronto,ON,CA,416-364-3232,GMT-05:00 America/Toronto,-79.38,43.64
Wellington & John,Toronto,ON,CA,416-506-0440,GMT-05:00 America/Toronto,-79.39,43.65
95 St. Clair Avenue West,Toronto,ON,CA,(416) 929-0466,GMT-05:00 America/Toronto,-79.4,43.69
Bloor & Avenue,Toronto,ON,CA,4169254626,GMT-05:00 America/Toronto,-79.39,43.67
University &Wellington,Toronto,ON,CA,416-360-0407,GMT-05:00 America/Toronto,-79.38,43.65
King & Shaw,Toronto,ON,CA,416-979-1953,GMT-05:00 America/Toronto,-79.41,43.64
Eglinton and Holly,Toronto,ON,CA,(416) 483-6850,GMT-05:00 America/Toronto,-79.4,43.71
Bloor & Jarvis,Toronto,ON,CA,416-923-4242,GMT-05:00 America/Toronto,-79.38,43.67
Bathurst & St. Clair,Toronto,ON,CA,416-653-7517,GMT-05:00 America/Toronto,-79.42,43.68
Queen & Logan,Toronto,ON,CA,416-461-9788,GMT-05:00 America/Toronto,-79.34,43.66
446 Spadina Rd.,Toronto,ON,CA,(416) 932-0895,GMT-05:00 America/Toronto,-79.41,43.69
Union Station - Go West Concourse,Toronto,ON,CA,6479309538,GMT-05:00 America/Toronto,-79.38,43.65
TD Bank Tower - PATH Concourse,Toronto,ON,CA,(416) 306-1838,GMT-05:00 America/Toronto,-79.38,43.65
Bay & Charles,Toronto,ON,CA,416 9729324,GMT-05:00 America/Toronto,-79.39,43.67
761 Bay Street,Toronto,ON,CA,416-204-1617,GMT-05:00 America/Toronto,-79.39,43.66
Queen &  Bathurst,Toronto,ON,CA,416-364-0014,GMT-05:00 America/Toronto,-79.4,43.65
Fairview Mall - Food Court,Toronto,ON,CA,416-494-8348,GMT-05:00 America/Toronto,-79.34,43.78
81 Front St E at Jarvis,Toronto,ON,CA,416 9559956,GMT-05:00 America/Toronto,-79.37,43.65
Dufferin Mall,Toronto,ON,CA,(647) 669-8169,GMT-05:00 America/Toronto,-79.44,43.66
Teavana - Fairview Mall,Toronto,ON,CA,416-644-1396,GMT-05:00 America/Toronto,-79.35,43.78
Parliament & Aberdeen,Toronto,ON,CA,416-929-2497,GMT-05:00 America/Toronto,-79.37,43.66
Front & Frederick,TORONTO,ON,CA,416-361-5037,GMT-05:00 America/Toronto,-79.37,43.65
Bathurst & Joicey,Toronto,ON,CA,(416) 789-9438,GMT-05:00 America/Toronto,-79.43,43.73
Kingston Road & Main,Toronto,ON,CA,(416) 691-2389,GMT-05:00 America/Toronto,-79.3,43.68
1495 Yonge & St. Clair,Toronto,ON,CA,416-925-1441,GMT-05:00 America/Toronto,-79.39,43.69
1909 Yonge St.,Toronto,ON,CA,(416) 486-7160,GMT-05:00 America/Toronto,-79.4,43.7
Yonge & Avondale,Toronto,ON,CA,416-590-7396,GMT-05:00 America/Toronto,-79.41,43.76
Teavana - Toronto Eaton Centre,Toronto,ON,CA,416-979-1843,GMT-05:00 America/Toronto,-79.38,43.65
Hudson Bay Centre,Toronto,ON,CA,416-515-7070,GMT-05:00 America/Toronto,-79.39,43.67
First Canadian Place,Toronto,ON,CA,(416) 214-5577,GMT-05:00 America/Toronto,-79.38,43.65
Ossington & Queen,Toronto,ON,CA,(416) 533-0122,GMT-05:00 America/Toronto,-79.42,43.64
Midland & McNicoll,Toronto,ON,CA,416) 297-0618,GMT-05:00 America/Toronto,-79.29,43.82
3250-52 Yonge,Toronto,ON,CA,(416) 488-8277,GMT-05:00 America/Toronto,-79.4,43.73
150 Park Lawn Road,Toronto,ON,CA,(416) 503-2447,GMT-05:00 America/Toronto,-79.49,43.63
6355 Yonge St,Toronto,ON,CA,(647) 448-3386,GMT-05:00 America/Toronto,-79.42,43.8
Aramark @ Seneca College,Toronto,ON,CA,(647) 210 2807,GMT-05:00 America/Toronto,-79.35,43.79
Mount Pleasant & Soudan,Toronto,ON,CA,(416) 486-0671,GMT-05:00 America/Toronto,-79.39,43.71
U of Toronto - Robarts Library,Toronto,ON,CA,416-591-1647,GMT-05:00 America/Toronto,-79.4,43.66
2630 Yonge Street,Toronto,ON,CA,(416) 483-0226,GMT-05:00 America/Toronto,-79.4,43.72
King & Sherbourne,Toronto,ON,CA,647-638-3291,GMT-05:00 America/Toronto,-79.37,43.65
Front & John,Toronto,ON,CA,(416) 551-6320,GMT-05:00 America/Toronto,-79.39,43.64
Yorkdale Shopping Centre,Toronto,ON,CA,(416) 781-1093,GMT-05:00 America/Toronto,-79.45,43.73
College & Dovercourt,Toronto,ON,CA,416-588-7979,GMT-05:00 America/Toronto,-79.43,43.65
Scarborough Town Centre,Toronto,ON,CA,416 290-6011,GMT-05:00 America/Toronto,-79.25,43.77
1228 St. Clair Avenue West,Toronto,ON,CA,(416) 371-4268,GMT-05:00 America/Toronto,-79.45,43.68
Toronto Eaton Centre L1,Toronto,ON,CA,4165069946,GMT-05:00 America/Toronto,-79.38,43.65
Richmond & Spadina,Toronto,ON,CA,416-504-8586,GMT-05:00 America/Toronto,-79.4,43.65
Keele & St. Clair,Toronto,ON,CA,416-769-4939,GMT-05:00 America/Toronto,-79.47,43.67
Compass @ St Michael's Hosp-Clinic,Toronto,ON,CA,647-448-6274,GMT-05:00 America/Toronto,-79.38,43.65
York University-Centre for Film & T,Toronto,ON,CA,416-650-8237,GMT-05:00 America/Toronto,-79.49,43.77
Bloor & Ellis,Toronto,ON,CA,416-761-9402,GMT-05:00 America/Toronto,-79.47,43.65
Yonge & Finch,Toronto,ON,CA,416-221-4820,GMT-05:00 America/Toronto,-79.42,43.78
Kingston Rd & Rylander,Toronto,ON,CA,(416) 286-0769,GMT-05:00 America/Toronto,-79.15,43.8
Yonge & Queens Quay,Toronto,ON,CA,(416) 603-2948,GMT-05:00 America/Toronto,-79.37,43.64
